position,name,fantasy_points,salary,team,opponent,score,minutes_played,stats
PG,"Wall, John^",55.1,"$10,300",WASHINGTON WIZARDS,v orl, 125-119,36:15,   30pt 3rb 9as 1st 3bl 4to 1trey 13-21fg 3-5ft
PG,"Schroder, Dennis^",54.1,"$7,400",ATLANTA HAWKS,v bkn, 105-110,31:44,   34pt 3rb 7as 3st 3to 3trey 14-26fg 3-3ft
PG,"Paul, Chris^",49.6,"$10,800",HOUSTON ROCKETS,@ pho, 112-95,27:04,   25pt 8rb 6as 2bl 2trey 9-18fg 5-7ft
SG,"Holiday, Jrue^",49,"$7,200",NEW ORLEANS PELICANS,v por, 119-113,36:32,   25pt 5rb 6as 4st 3to 1trey 8-11fg 8-8ft
SG,"Beal, Bradley^",47.1,"$8,500",WASHINGTON WIZARDS,v orl, 125-119,36:29,   30pt 3rb 7as 1st 12-17fg 6-8ft
PG,"Dinwiddie, Spencer^",45.8,"$6,700",BROOKLYN NETS,@ atl, 110-105,29:41,   20pt 9rb 10as 1st 3to 3trey 6-15fg 5-7ft
PG,"Payton, Elfrid^",45,"$6,700",ORLANDO MAGIC,@ was, 119-125,38:16,   27pt 5rb 8as 1st 3to 1trey 9-12fg 8-9ft
SG,"Booker, Devin^",44.7,"$7,800",PHOENIX SUNS,v hou, 95-112,37:12,   27pt 6rb 9as 2st 9to 3trey 9-18fg 6-6ft
PG,"Lillard, Damian^",44.4,"$9,000",PORTLAND TRAIL BLAZERS,@ nor, 113-119,38:03,   23pt 2rb 8as 3st 2to 2trey 9-22fg 3-4ft
SG,"Mitchell, Donovan^",42,"$7,100",UTAH JAZZ,@ cha, 88-99,36:47,   35pt 5rb 2st 5to 5trey 10-20fg 10-11ft
PG,"Bledsoe, Eric^",39.3,"$7,700",MILWAUKEE BUCKS,v gsw, 94-108,31:40,   21pt 4rb 3as 4st 3to 3trey 8-16fg 2-2ft
SG,"McCollum, C.J.^",38.8,"$7,800",PORTLAND TRAIL BLAZERS,@ nor, 113-119,35:31,   23pt 4rb 4as 1st 1bl 1to 4trey 9-21fg 1-2ft
PG,"Teague, Jeff^",37.8,"$5,900",MINNESOTA TIMBERWOLVES,v nyk, 118-108,32:38,   12pt 4rb 8as 4st 3to 1trey 3-11fg 5-6ft
PG,"Napier, Shabazz^",37.2,"$4,400",PORTLAND TRAIL BLAZERS,@ nor, 113-119,35:33,   17pt 6rb 6as 2st 2to 3trey 7-15fg
PG,"Collison, Darren^",34.4,"$5,000",INDIANA PACERS,v cle, 97-95,35:04,   22pt 2rb 4as 2st 2to 1trey 9-11fg 3-4ft
SG,"Wiggins, Andrew^",33.2,"$6,200",MINNESOTA TIMBERWOLVES,v nyk, 118-108,35:12,   16pt 6rb 2as 2st 1bl 2to 1trey 7-20fg 1-3ft
PG,"Jack, Jarrett^",32.2,"$4,700",NEW YORK KNICKS,@ min, 108-118,33:27,   18pt 1rb 8as 1st 2to 2trey 7-12fg 2-2ft
PG,"Walker, Kemba^",31.4,"$8,500",CHARLOTTE HORNETS,v uta, 99-88,37:13,   22pt 2rb 6as 2to 4trey 5-14fg 8-9ft
PG,"Harrison, Andrew^",31.4,"$4,300",MEMPHIS GRIZZLIES,@ den, 78-87,29:14,   9pt 2rb 6as 4st 1to 3-4fg 3-4ft
SG,"Oladipo, Victor^",29.1,"$9,500",INDIANA PACERS,v cle, 97-95,40:02,   19pt 3rb 1as 1st 1bl 1to 2trey 8-21fg 1-1ft
SG,"Barton, Will^",28.5,"$6,000",DENVER NUGGETS,v mem, 87-78,40:17,   17pt 5rb 3as 1st 1bl 5to 3trey 5-12fg 4-4ft
SG,"Hardaway Jr., Tim",27.6,"$4,500",NEW YORK KNICKS,@ min, 108-118,24:45,   16pt 3rb 2as 2st 1to 4trey 6-13fg
SG,"Brogdon, Malcolm^",27.4,"$5,600",MILWAUKEE BUCKS,v gsw, 94-108,39:56,   17pt 2rb 4as 1st 1to 2trey 7-14fg 1-1ft
SG,"Bazemore, Kent^",26.8,"$5,400",ATLANTA HAWKS,v bkn, 105-110,31:46,   16pt 4rb 2as 2st 3to 2trey 4-8fg 6-8ft
SG,"Gordon, Eric^",25.2,"$8,100",HOUSTON ROCKETS,@ pho, 112-95,29:02,   14pt 1rb 4as 2st 2to 2trey 5-19fg 2-2ft
PG,"Murray, Jamal^",24.3,"$6,800",DENVER NUGGETS,v mem, 87-78,32:11,   11pt 4rb 3as 2st 2to 1-7fg 9-10ft
SG,"Batum, Nicolas^",23.1,"$5,300",CHARLOTTE HORNETS,v uta, 99-88,36:05,   11pt 3rb 5as 1st 2to 1trey 5-11fg
SG,"Evans, Tyreke^",22.6,"$8,500",MEMPHIS GRIZZLIES,@ den, 78-87,31:39,   12pt 3rb 4as 2st 5to 2trey 5-13fg
PG,"Rubio, Ricky^",22.4,"$5,100",UTAH JAZZ,@ cha, 88-99,28:10,   7pt 7rb 4as 1bl 2to 1trey 3-11fg
SG,"Smith, J.R.^",22.2,"$3,600",CLEVELAND CAVALIERS,@ ind, 95-97,30:57,   9pt 6rb 2as 1st 1trey 4-10fg
