position,name,fantasy_points,salary,team,opponent,score,minutes_played,stats
SG,"Harden, James^",56.4,"$11,400",HOUSTON ROCKETS,@ por, 130-114,34:29,   38pt 2rb 10as 2st 1bl 5to 5trey 11-22fg 11-13ft
PG,"Bledsoe, Eric^",56.2,"$7,800",PHOENIX SUNS,v den, 114-120,40:10,   35pt 6rb 6as 2st 2bl 3to 4trey 10-23fg 11-11ft
SG,"Fournier, Evan^",47.7,"$5,400",ORLANDO MAGIC,v mil, 96-104,37:30,   27pt 6rb 7as 2st 1to 3trey 11-21fg 2-3ft
PG,"Irving, Kyrie^",45.8,"$7,400",CLEVELAND CAVALIERS,@ phi, 112-108,40:45,   39pt 4rb 2as 1to 5trey 14-27fg 6-6ft
SG,"McCollum, C.J.^",45.1,"$7,200",PORTLAND TRAIL BLAZERS,v hou, 114-130,37:00,   28pt 3rb 7as 2st 1to 4trey 9-19fg 6-6ft
SG,"Booker, Devin^",40.6,"$5,800",PHOENIX SUNS,v den, 114-120,35:43,   30pt 3rb 4as 1st 1to 4trey 11-27fg 4-5ft
SG,"Gordon, Eric",39,"$4,600",HOUSTON ROCKETS,@ por, 130-114,29:39,   26pt 5rb 4as 1st 1to 6trey 9-15fg 2-3ft
SG,"Antetokounmpo, Giannis^",36.8,"$10,200",MILWAUKEE BUCKS,@ orl, 104-96,30:44,   18pt 9rb 4as 1st 3bl 6to 1trey 7-11fg 3-4ft
PG,"Lillard, Damian^",35.5,"$9,500",PORTLAND TRAIL BLAZERS,v hou, 114-130,37:58,   27pt 5rb 5as 1st 7to 2trey 7-20fg 11-13ft
SG,"Clarkson, Jordan",34.3,"$5,000",LOS ANGELES LAKERS,v atl, 109-94,32:03,   18pt 4rb 5as 2st 1trey 7-17fg 3-4ft
SG,"Kilpatrick, Sean^",33.5,"$5,100",BROOKLYN NETS,v sac, 105-122,29:39,   22pt 5rb 3as 2st 3to 3trey 8-13fg 3-3ft
PG,"Mudiay, Emmanuel^",30.8,"$5,700",DENVER NUGGETS,@ pho, 120-114,36:35,   19pt 4rb 6as 2to 1trey 5-13fg 8-10ft
PG,"Teague, Jeff^",29.4,"$7,100",INDIANA PACERS,v lac, 91-70,24:25,   7pt 2rb 10as 2st 1bl 1to 1trey 3-8fg
SG,"Williams, Louis",29.3,"$4,900",LOS ANGELES LAKERS,v atl, 109-94,27:25,   21pt 4rb 3as 1to 2trey 5-13fg 9-9ft
SG,"Henderson, Gerald^",29,"$3,900",PHILADELPHIA 76ERS,v cle, 108-112,31:45,   13pt 5rb 4as 1st 1bl 1trey 5-13fg 2-2ft
PG,"Schroder, Dennis^",28.8,"$5,300",ATLANTA HAWKS,@ lal, 94-109,31:49,   11pt 4rb 8as 1st 1bl 3to 1trey 5-15fg
SG,"Matthews, Wes^",28.1,"$4,600",DALLAS MAVERICKS,v nor, 91-81,38:56,   21pt 3rb 3as 1to 6trey 7-14fg 1-2ft
PG,"Rodriguez, Sergio^",26.9,"$4,200",PHILADELPHIA 76ERS,v cle, 108-112,28:11,   12pt 2rb 7as 2st 2to 2trey 5-9fg
PG,"Holiday, Jrue",26.8,"$7,400",NEW ORLEANS PELICANS,@ dal, 81-91,31:11,   17pt 4rb 6as 4to 3trey 7-13fg
PG,"Nelson, Jameer^",25.9,"$4,000",DENVER NUGGETS,@ pho, 120-114,27:47,   21pt 2rb 3as 2to 4trey 8-13fg 1-1ft
PG,"Paul, Chris^",25.8,"$9,100",LOS ANGELES CLIPPERS,@ ind, 70-91,32:04,   13pt 4rb 4as 2st 1bl 4to 3-11fg 7-7ft
PG,"Lawson, Ty",23.8,"$4,000",SACRAMENTO KINGS,@ bkn, 122-105,21:34,   13pt 4rb 4as 1st 2to 1trey 5-10fg 2-2ft
PG,"Payton, Elfrid",23.1,"$5,800",ORLANDO MAGIC,v mil, 96-104,29:12,   16pt 3rb 3as 1st 3to 1trey 6-9fg 3-4ft
PG,"Collison, Darren^",22.4,"$6,000",SACRAMENTO KINGS,@ bkn, 122-105,29:44,   18pt 2rb 2as 1st 3to 2trey 6-10fg 4-6ft
PG,"Dellavedova, Matthew^",22.2,"$4,000",MILWAUKEE BUCKS,@ orl, 104-96,31:11,   8pt 1rb 8as 1st 1to 2trey 3-13fg
PG,"Augustin, D.J.^",20.9,"$3,500",ORLANDO MAGIC,v mil, 96-104,25:20,   11pt 2rb 5as 1trey 5-7fg
PG,"Brogdon, Malcolm",20.6,"$3,500",MILWAUKEE BUCKS,@ orl, 104-96,20:18,   12pt 3rb 2as 1st 2trey 5-10fg
PG,"Brooks, Aaron",20.3,"$3,500",INDIANA PACERS,v lac, 91-70,16:09,   6pt 4rb 3as 2st 1bl 1to 3-6fg
SG,"Young, Nick^",20.2,"$4,000",LOS ANGELES LAKERS,v atl, 109-94,23:08,   17pt 1rb 1st 4trey 6-12fg 1-1ft
SG,"Stauskas, Nik",19.6,"$4,000",PHILADELPHIA 76ERS,v cle, 108-112,24:48,   11pt 3rb 4as 1to 2trey 4-6fg 1-2ft
SG,"Stuckey, Rodney",19,"$4,000",INDIANA PACERS,v lac, 91-70,27:13,   12pt 5rb 2as 1st 4to 4-10fg 4-5ft
PG,"Calderon, Jose^",18.2,"$3,500",LOS ANGELES LAKERS,v atl, 109-94,12:49,   9pt 1rb 4as 1st 4-5fg 1-1ft
SG,"Ellis, Monta^",18.2,"$5,200",INDIANA PACERS,v lac, 91-70,35:19,   5pt 6rb 2as 1st 1bl 1to 1trey 2-12fg
SG,"Curry, Seth",17,"$4,600",DALLAS MAVERICKS,v nor, 91-81,33:34,   10pt 5rb 2as 2to 4-8fg 2-2ft
SG,"Korver, Kyle^",15.8,"$3,700",ATLANTA HAWKS,@ lal, 94-109,31:33,   10pt 4rb 2as 2to 2trey 3-10fg 2-2ft
PG,"Murray, Jamal",15.8,"$4,200",DENVER NUGGETS,@ pho, 120-114,21:38,   9pt 4rb 2as 1to 1trey 3-8fg 2-2ft
PG,"Whitehead, Isaiah^",15.8,"$3,900",BROOKLYN NETS,v sac, 105-122,28:48,   11pt 4rb 2as 3to 3trey 4-6fg
PG,"Frazier, Tim^",14.9,"$5,300",NEW ORLEANS PELICANS,@ dal, 81-91,31:23,   8pt 2rb 3as 2st 4to 3-9fg 2-2ft
