position,name,fantasy_points,salary,team,opponent,score,minutes_played,stats
PG,"Rivers, Austin^",46.4,"$6,300",LOS ANGELES CLIPPERS,@ okc, 113-121,39:01,   23pt 7rb 2as 3st 2bl 3to 4trey 8-15fg 3-4ft
SG,"DeRozan, DeMar^",42.8,"$8,300",TORONTO RAPTORS,v dal, 122-115,41:24,   29pt 4rb 6as 1st 3to 1trey 8-23fg 12-14ft
PG,"Cook, Quinn^",42.3,"$3,800",GOLDEN STATE WARRIORS,v sac, 93-98,40:14,   25pt 4rb 3as 3st 1to 5trey 10-13fg
PG,"Westbrook, Russell^",38.5,"$12,100",OKLAHOMA CITY THUNDER,v lac, 121-113,36:30,   16pt 10rb 11as 6to 7-17fg 2-2ft
PG,"Wright, Delon^",38,"$4,100",TORONTO RAPTORS,v dal, 122-115,38:40,   15pt 5rb 6as 2st 1bl 1to 3trey 6-15fg
SG,"Hield, Buddy",36.9,"$5,800",SACRAMENTO KINGS,@ gsw, 98-93,30:06,   22pt 7rb 7as 4to 5trey 7-13fg 3-4ft
PG,"Ball, Lonzo^",36.6,"$7,800",LOS ANGELES LAKERS,v mia, 91-92,38:07,   9pt 8rb 8as 2st 1bl 3to 1trey 4-15fg
PG,"Dragic, Goran^",35,"$6,700",MIAMI HEAT,@ lal, 92-91,31:16,   30pt 5rb 2as 4to 4trey 10-18fg 6-6ft
PG,"VanVleet, Fred",33.8,"$4,800",TORONTO RAPTORS,v dal, 122-115,30:34,   14pt 4rb 8as 1bl 3trey 5-12fg 1-2ft
SG,"Redick, J.J.^",33.1,"$4,900",PHILADELPHIA 76ERS,v bkn, 120-116,30:24,   23pt 3rb 3as 1st 1to 3trey 7-13fg 6-7ft
PG,"Rozier, Terry^",32.9,"$8,200",BOSTON CELTICS,@ orl, 92-83,34:12,   17pt 7rb 5as 1bl 3to 3trey 5-13fg 4-6ft
SG,"Williams, Louis^",32.2,"$7,200",LOS ANGELES CLIPPERS,@ okc, 113-121,38:23,   18pt 1rb 4as 3st 1bl 5to 6-16fg 6-7ft
PG,"Mack, Shelvin",30.4,"$3,900",ORLANDO MAGIC,v bos, 83-92,26:17,   16pt 7rb 3st 3to 1trey 6-13fg 3-3ft
PG,"Smith Jr., Dennis^",27.8,"$6,700",DALLAS MAVERICKS,@ tor, 115-122,36:15,   19pt 4rb 4as 1st 5to 9-23fg 1-2ft
PG,"Augustin, D.J.^",27.6,"$5,500",ORLANDO MAGIC,v bos, 83-92,30:01,   13pt 3rb 4as 2st 1to 1trey 5-11fg 2-2ft
SG,"Russell, D'Angelo^",26.9,"$6,900",BROOKLYN NETS,@ phi, 116-120,27:09,   8pt 7rb 5as 1st 1bl 3to 2trey 3-14fg
PG,"Barea, Jose",26.2,"$5,300",DALLAS MAVERICKS,@ tor, 115-122,18:54,   18pt 1rb 6as 2to 2trey 8-12fg
PG,"Dinwiddie, Spencer",24.1,"$5,800",BROOKLYN NETS,@ phi, 116-120,30:49,   14pt 3rb 5as 1to 1trey 5-12fg 3-5ft
PG,"Mason III, Frank",23.1,"$3,800",SACRAMENTO KINGS,@ gsw, 98-93,22:36,   9pt 3rb 3as 2st 4-9fg 1-1ft
SG,"Nader, Abdel",22.6,"$3,600",BOSTON CELTICS,@ orl, 92-83,23:35,   11pt 3rb 1st 2bl 1to 1trey 2-6fg 6-6ft
SG,"Bogdanovic, Bogdan^",22.5,"$5,200",SACRAMENTO KINGS,@ gsw, 98-93,24:21,   11pt 5rb 3as 1st 2to 3trey 3-10fg 2-2ft
SG,"Caldwell-Pope, Kentavious^",21.8,"$6,100",LOS ANGELES LAKERS,v mia, 91-92,38:52,   6pt 9rb 4as 1st 4to 2-6fg 2-2ft
SG,"LeVert, Caris",21.6,"$6,000",BROOKLYN NETS,@ phi, 116-120,27:56,   16pt 3rb 2as 1to 2trey 6-11fg 2-2ft
PG,"Johnson, Tyler^",21.2,"$5,000",MIAMI HEAT,@ lal, 92-91,27:55,   6pt 1rb 4as 2st 1bl 1to 3-10fg
SG,"Ferguson, Terrance",21,"$3,500",OKLAHOMA CITY THUNDER,v lac, 121-113,17:28,   12pt 3st 2trey 4-6fg 2-2ft
PG,"Teodosic, Milos",19.2,"$4,000",LOS ANGELES CLIPPERS,@ okc, 113-121,29:19,   12pt 1rb 4as 1st 3to 3trey 3-5fg 3-4ft
SG,"Young, Nick^",17.9,"$4,700",GOLDEN STATE WARRIORS,v sac, 93-98,36:21,   16pt 2rb 1as 2to 3trey 5-15fg 3-3ft
PG,"Felton, Raymond",17.4,"$3,600",OKLAHOMA CITY THUNDER,v lac, 121-113,11:30,   9pt 2rb 4as 1trey 4-6fg
PG,"Ferrell, Yogi",14.7,"$4,200",DALLAS MAVERICKS,@ tor, 115-122,32:09,   12pt 1rb 1as 6-14fg
PG,"Larkin, Shane",14.4,"$3,900",BOSTON CELTICS,@ orl, 92-83,18:51,   10pt 2rb 1st 1to 2trey 3-6fg 2-2ft
SG,"Temple, Garrett",12.5,"$3,600",SACRAMENTO KINGS,@ gsw, 98-93,23:39,   8pt 1as 1bl 2trey 2-5fg 2-2ft
SG,"Ellington, Wayne",12.3,"$4,200",MIAMI HEAT,@ lal, 92-91,31:23,   4pt 4rb 1as 1st 1to 1trey 1-7fg 1-1ft
PG,"McConnell, T.J.",10.5,"$3,600",PHILADELPHIA 76ERS,v bkn, 120-116,14:36,   6pt 3as 2-6fg 2-2ft
PG,"Thornwell, Sindarius^",9.8,"$3,800",LOS ANGELES CLIPPERS,@ okc, 113-121,28:18,   6pt 4rb 1to 2-8fg 2-2ft
PG,"Thomas, Isaiah",8.9,"$6,600",LOS ANGELES LAKERS,v mia, 91-92,26:34,   5pt 2rb 3as 3to 1-9fg 3-4ft
SG,"Belinelli, Marco",8.5,"$3,700",PHILADELPHIA 76ERS,v bkn, 120-116,26:02,   5pt 1as 1bl 1to 1trey 2-6fg
PG,"Livingston, Shaun",8.5,"$3,900",GOLDEN STATE WARRIORS,v sac, 93-98,19:05,   7pt 1as 3-8fg 1-1ft
PG,"Purvis, Rodney",7.2,"$3,500",ORLANDO MAGIC,v bos, 83-92,13:36,   4pt 1rb 1bl 1to 1trey 1-3fg 1-1ft
PG,"Fox, De'Aaron^",7.2,"$5,900",SACRAMENTO KINGS,@ gsw, 98-93,25:24,   6pt 1rb 2as 3to 3-8fg
SG,"Abrines, Alex",6.2,"$3,500",OKLAHOMA CITY THUNDER,v lac, 121-113,9:33,   2pt 1rb 1st 1-4fg
PG,"Evans, Jawun",3,"$3,600",LOS ANGELES CLIPPERS,@ okc, 113-121,8:59,   0pt 2as
PG,"Ennis, Tyler",2.2,"$3,500",LOS ANGELES LAKERS,v mia, 91-92,11:39,   2pt 1rb 1to 1-2fg
SG,"Dozier, PJ",0,"$3,500",OKLAHOMA CITY THUNDER,v lac, 121-113,DNP,   
