position,name,fantasy_points,salary,team,opponent,score,minutes_played,stats
PG,"Wall, John^",66.4,"$9,200",WASHINGTON WIZARDS,v bos, 113-101,36:25,   29pt 7rb 12as 3st 3bl 7to 4trey 9-16fg 7-9ft
SG,"Harden, James^",40.8,"$11,300",HOUSTON ROCKETS,@ lal, 105-99,30:51,   21pt 4rb 10as 1st 1bl 6to 3trey 6-15fg 6-6ft
SG,"Harrison, Shaquille^",39.8,"$4,900",PHOENIX SUNS,@ dal, 124-97,35:37,   18pt 4rb 10as 2st 4to 8-11fg 2-3ft
SG,"Redick, J.J.^",38.3,"$5,700",PHILADELPHIA 76ERS,@ atl, 121-113,32:30,   28pt 4rb 5as 2to 6trey 9-17fg 4-5ft
PG,"Paul, Chris^",37.6,"$8,400",HOUSTON ROCKETS,@ lal, 105-99,27:14,   22pt 3rb 6as 1st 4trey 9-14fg
SG,"Collinsworth, Kyle^",36.2,"$3,600",DALLAS MAVERICKS,v pho, 97-124,44:28,   10pt 11rb 8as 1st 2to 4-13fg 2-4ft
PG,"Rubio, Ricky^",35.5,"$6,800",UTAH JAZZ,v gsw, 119-79,19:32,   13pt 5rb 5as 3st 1trey 5-10fg 2-2ft
SG,"Brown, Jaylen^",34.2,"$5,400",BOSTON CELTICS,@ was, 101-113,31:59,   27pt 1rb 2as 2st 3to 6trey 8-18fg 5-6ft
SG,"Hart, Josh^",33.4,"$5,600",LOS ANGELES LAKERS,v hou, 99-105,39:39,   20pt 7rb 2st 1to 2trey 8-17fg 2-2ft
PG,"Ulis, Tyler",33,"$6,900",PHOENIX SUNS,@ dal, 124-97,28:26,   14pt 8as 2st 1bl 2to 1trey 5-10fg 3-3ft
SG,"Mitchell, Donovan^",31.1,"$8,000",UTAH JAZZ,v gsw, 119-79,26:16,   22pt 3rb 1as 2st 2to 4trey 8-12fg 2-2ft
SG,"Belinelli, Marco",29.8,"$5,000",PHILADELPHIA 76ERS,@ atl, 121-113,32:28,   20pt 4rb 1st 1bl 1to 5trey 6-15fg 3-4ft
SG,"House, Danuel^",29.1,"$4,300",PHOENIX SUNS,@ dal, 124-97,39:54,   16pt 8rb 3as 1to 1trey 7-12fg 1-2ft
PG,"Harrison, Aaron^",28.3,"$3,500",DALLAS MAVERICKS,v pho, 97-124,48:00,   16pt 4rb 1as 2st 2trey 5-18fg 4-6ft
SG,"Beal, Bradley^",27.8,"$8,700",WASHINGTON WIZARDS,v bos, 113-101,38:01,   19pt 4rb 4as 2to 3trey 6-16fg 4-4ft
SG,"Thompson, Klay^",26.7,"$6,100",GOLDEN STATE WARRIORS,@ uta, 79-119,35:14,   23pt 1rb 1as 1st 2to 3trey 9-27fg 2-2ft
SG,"Batum, Nicolas^",25.8,"$5,000",CHARLOTTE HORNETS,@ ind, 119-93,20:32,   14pt 4rb 6as 2to 2trey 5-9fg 2-2ft
SG,"Caruso, Alex^",25.8,"$3,500",LOS ANGELES LAKERS,v hou, 99-105,26:50,   9pt 4rb 6as 2st 3to 1trey 3-8fg 2-2ft
PG,"Ennis, Tyler",24.8,"$4,700",LOS ANGELES LAKERS,v hou, 99-105,23:16,   10pt 4rb 4as 2st 2to 4-7fg 2-2ft
PG,"Walker, Kemba^",23.9,"$6,000",CHARLOTTE HORNETS,@ ind, 119-93,24:44,   15pt 2rb 5as 1to 3trey 6-11fg
PG,"Dorsey, Tyler",23.9,"$4,500",ATLANTA HAWKS,v phi, 113-121,20:52,   17pt 2rb 1as 1st 4trey 6-12fg 1-2ft
PG,"Stone, Julyan",22.8,"$3,900",CHARLOTTE HORNETS,@ ind, 119-93,23:16,   6pt 4rb 6as 1st 2trey 2-3fg
PG,"Collison, Darren^",22.6,"$5,700",INDIANA PACERS,v cha, 93-119,20:30,   13pt 3rb 4as 3trey 5-12fg
PG,"Satoransky, Tomas",22.5,"$4,500",WASHINGTON WIZARDS,v bos, 113-101,20:27,   7pt 5rb 5as 1st 1to 1trey 3-4fg
PG,"Rozier, Terry^",20.8,"$7,000",BOSTON CELTICS,@ was, 101-113,32:38,   8pt 4rb 6as 1to 1trey 2-12fg 3-4ft
SG,"Monk, Malik",19,"$5,200",CHARLOTTE HORNETS,@ ind, 119-93,25:10,   17pt 2as 1to 3trey 6-16fg 2-2ft
PG,"Joseph, Cory",18.6,"$3,900",INDIANA PACERS,v cha, 93-119,25:50,   6pt 3rb 8as 3to 3-10fg
PG,"Fultz, Markelle",16.5,"$4,000",PHILADELPHIA 76ERS,@ atl, 121-113,19:05,   4pt 5rb 3as 1st 1to 2-6fg 0-2ft
PG,"Larkin, Shane",16.4,"$3,600",BOSTON CELTICS,@ was, 101-113,20:55,   2pt 2rb 2as 3st 1-3fg
PG,"Allen, Kadeem",14.1,"$3,500",BOSTON CELTICS,@ was, 101-113,2:59,   6pt 3rb 3as 2-2fg 2-3ft
SG,"Lee, Damion^",13.6,"$4,900",ATLANTA HAWKS,v phi, 113-121,28:59,   7pt 3rb 1st 3-11fg 1-2ft
PG,"Cook, Quinn^",13.3,"$6,000",GOLDEN STATE WARRIORS,@ uta, 79-119,33:34,   8pt 4rb 1as 1to 1trey 2-8fg 3-4ft
SG,"Caldwell-Pope, Kentavious^",12.9,"$5,800",LOS ANGELES LAKERS,v hou, 99-105,21:11,   3pt 2rb 3as 1st 1trey 1-8fg
SG,"Gordon, Eric",12.2,"$5,000",HOUSTON ROCKETS,@ lal, 105-99,27:13,   6pt 1rb 2as 1st 1to 2trey 2-9fg
PG,"Young, Joseph",10.9,"$3,500",INDIANA PACERS,v cha, 93-119,22:00,   7pt 2rb 1as 1trey 3-8fg
SG,"Burks, Alec",10.8,"$3,500",UTAH JAZZ,v gsw, 119-79,12:00,   3pt 4rb 2as 1trey 1-6fg
PG,"Livingston, Shaun",10.4,"$3,700",GOLDEN STATE WARRIORS,@ uta, 79-119,15:40,   2pt 2rb 4as 1-5fg
PG,"Exum, Dante",10.2,"$4,100",UTAH JAZZ,v gsw, 119-79,18:48,   6pt 1rb 2as 1st 3to 3-9fg
SG,"Young, Nick",9.9,"$3,500",GOLDEN STATE WARRIORS,@ uta, 79-119,24:27,   6pt 2rb 1as 1trey 1-3fg 3-3ft
PG,"McConnell, T.J.",8.9,"$3,500",PHILADELPHIA 76ERS,@ atl, 121-113,19:27,   0pt 2rb 3as 1bl 1to 0-3fg
PG,"Payton, Gary",6.9,"$3,500",LOS ANGELES LAKERS,v hou, 99-105,8:15,   0pt 2rb 1as 1st 0-2fg
PG,"Sessions, Ramon",6,"$3,700",WASHINGTON WIZARDS,v bos, 113-101,1:39,   3pt 2as 1-1fg 1-1ft
PG,"Neto, Raul",5.7,"$3,500",UTAH JAZZ,v gsw, 119-79,9:40,   4pt 1rb 1as 1st 4to 2-3fg
SG,"Cleveland, Antonius",5,"$3,500",ATLANTA HAWKS,v phi, 113-121,12:42,   5pt 1trey 2-2fg
SG,"Gibson, Jonathan",5,"$3,500",BOSTON CELTICS,@ was, 101-113,2:59,   5pt 1trey 2-2fg
SG,"Bird, Jabari",4.5,"$3,700",BOSTON CELTICS,@ was, 101-113,2:59,   3pt 1as 1trey 1-2fg
PG,"Sumner, Edmond",3.2,"$3,500",INDIANA PACERS,v cha, 93-119,2:10,   2pt 1rb 1-1fg
