team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
DENVER NUGGETS,240,45,91,9,28,19,26,20,28,22,8,4,15,20
BOSTON CELTICS,240,47,79,11,25,19,24,4,26,29,10,7,13,20
UTAH JAZZ,240,42,91,9,30,7,7,5,43,24,3,8,16,19
CHICAGO BULLS,240,41,93,7,17,14,21,9,37,21,9,3,9,14
CHARLOTTE HORNETS,240,36,87,4,21,20,27,12,44,14,4,5,12,15
HOUSTON ROCKETS,240,39,88,17,45,13,19,6,39,24,7,5,10,18
OKLAHOMA CITY THUNDER,240,36,88,13,29,15,24,17,35,26,10,6,13,12
INDIANA PACERS,240,40,89,11,31,4,6,11,31,18,11,7,13,21
PORTLAND TRAIL BLAZERS,240,36,72,10,28,20,23,5,28,14,7,2,11,21
MIAMI HEAT,240,34,72,13,30,14,23,10,26,19,6,1,15,21
MILWAUKEE BUCKS,240,44,95,8,27,12,19,15,23,23,14,5,9,13
NEW ORLEANS PELICANS,240,45,80,13,25,12,15,9,32,35,5,8,21,16
LOS ANGELES CLIPPERS,240,39,88,12,26,16,20,6,45,25,10,6,8,19
ORLANDO MAGIC,240,37,88,9,27,12,21,7,38,24,6,6,12,13
TORONTO RAPTORS,240,40,92,9,26,26,31,8,37,16,7,3,6,25
PHOENIX SUNS,240,37,83,8,24,27,34,10,31,20,3,9,11,24
MEMPHIS GRIZZLIES,240,31,81,10,28,15,16,10,37,18,6,2,16,23
WASHINGTON WIZARDS,240,36,77,9,22,12,24,6,38,21,7,8,15,22
