team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
MILWAUKEE BUCKS,240,42,85,14,34,15,20,11,46,26,5,4,21,25
CHARLOTTE HORNETS,240,41,92,16,38,14,22,9,32,21,8,9,11,19
BROOKLYN NETS,240,40,82,5,27,15,22,5,34,28,9,5,17,23
DETROIT PISTONS,240,39,92,6,24,19,22,14,32,21,5,5,14,20
NEW ORLEANS PELICANS,240,52,98,10,25,17,22,14,40,36,8,3,12,25
HOUSTON ROCKETS,240,39,92,16,48,18,24,8,29,21,8,7,11,22
MEMPHIS GRIZZLIES,240,25,84,10,29,23,28,7,21,16,11,3,7,18
INDIANA PACERS,240,47,83,10,26,7,13,13,44,29,2,7,20,24
DENVER NUGGETS,240,33,87,8,24,33,42,14,42,20,6,9,10,22
LOS ANGELES CLIPPERS,240,35,88,8,28,20,24,9,38,21,3,9,12,32
ATLANTA HAWKS,240,41,90,10,36,15,18,7,38,19,7,3,24,30
NEW YORK KNICKS,240,45,99,12,33,24,31,10,36,21,12,6,15,23
MIAMI HEAT,240,38,97,9,33,16,22,14,38,16,4,5,16,28
ORLANDO MAGIC,240,39,94,7,25,19,31,14,37,20,7,7,12,25
DALLAS MAVERICKS,240,38,88,10,33,14,20,10,28,28,7,5,9,16
PHOENIX SUNS,240,44,81,19,34,14,16,6,38,35,5,2,11,22
UTAH JAZZ,240,41,79,13,27,28,38,5,39,21,8,4,17,19
SACRAMENTO KINGS,240,49,95,7,19,12,18,5,32,17,8,3,9,27
MINNESOTA TIMBERWOLVES,240,39,91,6,19,24,27,14,32,20,9,2,11,27
SAN ANTONIO SPURS,240,40,93,11,25,21,29,19,33,22,3,4,12,22
CLEVELAND CAVALIERS,240,34,85,7,19,29,39,14,35,17,4,0,16,25
TORONTO RAPTORS,240,45,92,14,33,12,20,8,35,21,6,7,9,29
