team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
MILWAUKEE BUCKS,240,34,87,9,29,8,12,9,27,23,6,3,12,20
CHARLOTTE BOBCATS,240,37,80,4,9,17,24,11,41,23,6,5,14,18
LOS ANGELES CLIPPERS,240,37,80,6,16,11,18,12,33,18,9,8,7,20
MEMPHIS GRIZZLIES,240,34,83,6,13,13,20,12,31,19,6,5,10,20
PHOENIX SUNS,240,37,73,9,20,10,14,5,29,28,10,3,27,22
MINNESOTA TIMBERWOLVES,240,41,83,6,15,17,19,11,25,19,17,6,18,14
BOSTON CELTICS,240,48,81,10,16,14,19,7,31,27,10,4,13,15
ORLANDO MAGIC,240,35,83,5,14,13,15,12,28,23,5,4,20,16
