team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
WASHINGTON WIZARDS,240,41,77,4,11,15,20,11,33,24,8,6,19,23
BROOKLYN NETS,240,43,92,7,15,13,27,20,25,12,13,2,14,18
NEW YORK KNICKS,240,34,79,14,37,13,13,3,22,27,5,1,8,15
CHARLOTTE BOBCATS,240,43,74,7,18,13,14,4,33,35,4,6,11,15
MIAMI HEAT,240,33,66,13,28,17,27,10,35,25,2,8,17,19
CLEVELAND CAVALIERS,240,39,86,5,13,12,19,13,25,20,8,5,5,22
MEMPHIS GRIZZLIES,240,38,80,7,21,20,25,16,34,24,10,3,16,22
DALLAS MAVERICKS,240,34,76,9,19,20,25,8,28,18,7,3,15,22
PHILADELPHIA 76ERS,240,39,87,6,22,17,21,13,26,25,10,5,12,15
DETROIT PISTONS,240,41,83,9,25,18,22,12,31,23,7,3,14,21
SAN ANTONIO SPURS,240,45,98,8,24,8,13,10,29,30,13,1,15,18
GOLDEN STATE WARRIORS,240,46,85,9,20,15,18,9,44,26,9,7,21,17
DENVER NUGGETS,240,37,85,6,14,32,46,18,40,21,5,5,17,24
MILWAUKEE BUCKS,240,42,100,12,35,15,23,18,26,25,10,6,11,24
UTAH JAZZ,240,36,77,3,10,21,23,3,38,21,11,2,10,18
MINNESOTA TIMBERWOLVES,240,32,75,2,17,14,18,3,35,21,7,3,12,18
SACRAMENTO KINGS,240,38,87,7,27,12,21,12,33,19,8,0,15,15
OKLAHOMA CITY THUNDER,240,42,92,5,23,15,20,17,32,23,10,6,10,18
CHICAGO BULLS,240,42,75,9,17,9,13,8,27,33,6,4,14,25
ORLANDO MAGIC,240,31,74,2,10,20,33,15,24,16,8,6,14,14
HOUSTON ROCKETS,240,43,92,11,29,15,23,8,35,21,5,11,16,21
PHOENIX SUNS,240,47,95,7,23,18,23,11,33,29,11,9,11,19
