team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
INDIANA PACERS,240,40,81,11,24,17,20,12,29,21,6,1,13,25
CLEVELAND CAVALIERS,240,42,78,11,28,14,27,10,24,26,7,2,11,19
UTAH JAZZ,240,38,79,8,19,13,19,6,28,21,7,4,12,19
LOS ANGELES CLIPPERS,240,36,81,8,24,15,17,8,32,20,6,4,15,18
MEMPHIS GRIZZLIES,240,31,79,7,20,13,17,8,27,17,7,6,8,20
SAN ANTONIO SPURS,240,41,76,10,19,19,25,8,34,16,4,11,9,20
MILWAUKEE BUCKS,240,38,85,9,23,12,15,9,34,22,5,5,5,23
TORONTO RAPTORS,240,27,75,5,23,24,33,8,39,15,3,4,10,21
