team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
BOSTON CELTICS,240,33,82,12,31,16,17,9,37,22,3,7,8,13
DETROIT PISTONS,240,37,86,7,20,11,16,11,39,22,5,4,5,13
UTAH JAZZ,240,39,76,12,27,12,17,5,38,22,3,5,12,17
HOUSTON ROCKETS,240,42,94,12,32,15,20,10,29,28,8,3,4,16
CHICAGO BULLS,240,33,77,9,30,20,24,15,26,17,7,4,12,20
LOS ANGELES CLIPPERS,240,36,77,11,27,19,23,11,27,20,6,2,13,20
MINNESOTA TIMBERWOLVES,240,25,64,7,22,14,22,5,29,16,5,5,16,25
MEMPHIS GRIZZLIES,240,29,76,2,18,33,38,13,33,15,8,7,9,19
GOLDEN STATE WARRIORS,240,42,95,14,38,26,32,18,27,30,8,5,12,25
MILWAUKEE BUCKS,240,46,89,10,20,19,25,10,31,27,7,1,13,23
CHARLOTTE HORNETS,265,40,97,15,43,21,28,8,44,29,7,5,14,21
NEW ORLEANS PELICANS,265,43,98,14,36,21,25,10,43,27,9,6,11,23
DALLAS MAVERICKS,240,26,77,13,28,22,27,5,29,13,8,5,13,16
ORLANDO MAGIC,240,34,78,8,21,19,22,10,40,17,6,8,19,21
PHOENIX SUNS,240,39,92,6,21,21,34,12,32,18,11,7,15,19
PHILADELPHIA 76ERS,240,45,86,17,35,13,20,6,38,33,11,9,18,23
MIAMI HEAT,240,43,85,13,27,15,26,17,30,21,6,7,16,21
WASHINGTON WIZARDS,240,42,89,11,27,16,22,13,27,22,9,2,11,22
