team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
BOSTON CELTICS,240,35,82,14,37,17,21,10,25,19,9,2,17,28
BROOKLYN NETS,240,40,79,5,15,26,33,14,35,18,11,4,14,20
GOLDEN STATE WARRIORS,240,47,89,15,29,9,13,11,35,35,15,8,21,25
DENVER NUGGETS,240,37,86,4,15,27,35,13,28,23,9,3,19,15
TORONTO RAPTORS,240,29,78,4,17,29,31,14,32,15,8,0,14,19
LOS ANGELES CLIPPERS,240,29,74,7,32,15,20,12,30,21,9,9,19,30
PORTLAND TRAIL BLAZERS,240,43,87,8,25,13,17,7,36,27,7,8,10,18
LOS ANGELES LAKERS,240,32,88,6,18,23,27,15,36,17,2,6,10,12
PHOENIX SUNS,240,35,90,17,36,29,33,11,35,17,6,4,15,29
NEW ORLEANS PELICANS,240,39,85,11,30,33,40,10,39,23,11,6,14,26
DALLAS MAVERICKS,240,44,83,10,19,16,28,9,27,26,8,4,17,17
OKLAHOMA CITY THUNDER,240,47,90,9,22,14,18,14,27,25,8,6,16,23
