team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
GOLDEN STATE WARRIORS,240,47,103,12,33,10,15,19,32,31,7,7,14,24
ATLANTA HAWKS,240,38,77,15,27,33,37,4,34,28,13,4,13,19
PHILADELPHIA 76ERS,240,35,79,11,25,15,31,11,33,22,6,3,17,19
BOSTON CELTICS,240,39,86,10,27,19,25,11,42,27,8,4,10,24
NEW YORK KNICKS,240,34,89,6,24,14,17,13,27,23,8,3,5,22
BROOKLYN NETS,240,37,74,3,11,15,22,10,37,23,1,10,14,19
DENVER NUGGETS,240,33,85,5,22,17,22,11,32,22,7,5,13,24
DETROIT PISTONS,240,37,82,4,24,20,26,11,40,23,4,4,16,16
MILWAUKEE BUCKS,240,48,95,4,17,11,15,11,30,29,10,3,13,23
HOUSTON ROCKETS,240,41,81,15,32,20,29,10,32,32,11,5,17,17
CLEVELAND CAVALIERS,240,40,89,11,35,8,12,15,28,18,6,3,15,20
INDIANA PACERS,240,37,79,8,21,21,26,9,32,26,9,2,8,14
MEMPHIS GRIZZLIES,240,36,69,2,12,15,20,2,28,19,11,5,18,19
MINNESOTA TIMBERWOLVES,240,35,81,5,17,15,17,12,31,17,8,1,16,21
NEW ORLEANS PELICANS,240,40,83,11,20,25,30,11,35,26,5,5,17,22
OKLAHOMA CITY THUNDER,240,40,89,8,24,25,28,10,30,19,11,8,13,23
LOS ANGELES LAKERS,265,39,97,11,26,8,13,15,28,27,12,8,14,13
ORLANDO MAGIC,265,43,83,5,15,12,14,10,38,26,9,6,18,13
UTAH JAZZ,240,37,80,7,20,12,18,6,37,23,8,4,14,16
PHOENIX SUNS,240,38,84,14,27,10,14,10,34,20,10,5,11,16
MIAMI HEAT,240,36,80,5,16,8,9,10,27,23,7,3,16,10
SAN ANTONIO SPURS,240,40,83,11,29,7,9,14,29,31,12,4,16,18
LOS ANGELES CLIPPERS,240,38,78,6,23,25,31,7,23,21,8,4,8,21
TORONTO RAPTORS,240,40,75,13,30,30,37,10,32,25,7,1,11,19
