team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
NEW YORK KNICKS,240,37,80,3,11,22,31,9,29,21,7,13,13,21
CHICAGO BULLS,240,40,93,5,14,19,28,22,34,25,7,5,12,21
BOSTON CELTICS,240,33,67,5,13,23,27,6,25,24,8,5,14,24
LOS ANGELES CLIPPERS,240,31,83,5,23,18,21,20,25,16,10,2,16,26
MILWAUKEE BUCKS,240,43,92,10,25,9,11,9,30,32,8,2,12,19
NEW JERSEY NETS,240,37,76,4,17,21,29,5,34,14,8,4,15,17
CHARLOTTE BOBCATS,240,34,79,0,12,5,7,11,36,16,10,7,17,10
NEW ORLEANS HORNETS,240,30,78,5,12,6,7,9,28,23,9,6,17,11
MINNESOTA TIMBERWOLVES,240,50,89,14,22,13,21,12,27,30,4,3,11,22
PHOENIX SUNS,240,46,89,9,21,23,29,10,27,24,7,7,7,19
WASHINGTON WIZARDS,240,39,87,8,17,11,14,12,29,21,6,5,10,15
SAN ANTONIO SPURS,240,47,87,8,22,10,19,12,34,30,6,2,10,13
DETROIT PISTONS,240,34,71,3,12,19,28,5,24,18,7,5,12,19
UTAH JAZZ,240,39,72,7,11,20,26,7,31,24,10,2,15,23
