team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
ATLANTA HAWKS,240,40,78,7,13,16,20,9,29,20,8,8,10,17
CHICAGO BULLS,240,37,83,8,18,13,16,10,27,21,7,7,11,16
DALLAS MAVERICKS,240,39,79,9,20,9,11,5,35,30,8,8,11,17
LOS ANGELES LAKERS,240,36,84,5,19,17,20,11,33,21,9,8,11,12
