team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
ATLANTA HAWKS,240,44,84,8,21,9,13,9,29,30,14,5,11,20
BROOKLYN NETS,240,36,86,8,23,13,16,17,33,17,7,1,16,14
OKLAHOMA CITY THUNDER,240,39,80,5,21,24,30,12,34,17,9,8,16,17
DALLAS MAVERICKS,240,38,83,9,21,16,16,8,26,18,13,2,14,20
GOLDEN STATE WARRIORS,240,44,96,13,26,7,9,8,42,27,7,6,10,17
HOUSTON ROCKETS,240,28,86,9,35,13,16,12,36,16,6,5,15,15
NEW YORK KNICKS,240,29,81,12,26,10,14,7,32,21,7,1,9,27
LOS ANGELES CLIPPERS,240,34,75,8,28,17,31,12,39,20,5,8,12,18
SACRAMENTO KINGS,240,42,96,10,31,8,8,7,26,21,7,3,5,22
LOS ANGELES LAKERS,240,41,72,12,28,19,29,6,37,28,2,7,13,12
ORLANDO MAGIC,240,47,93,5,21,10,15,11,33,21,10,4,12,21
MILWAUKEE BUCKS,240,40,90,12,27,23,26,13,33,25,6,3,14,13
NEW ORLEANS HORNETS,240,39,85,5,13,12,16,20,21,20,10,3,18,26
MINNESOTA TIMBERWOLVES,240,36,64,5,15,20,27,7,20,18,8,10,18,19
MIAMI HEAT,240,39,67,10,22,20,29,2,24,31,8,2,12,14
TORONTO RAPTORS,240,39,94,2,20,11,12,24,27,15,5,2,16,21
