team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
WASHINGTON WIZARDS,240,36,85,11,32,18,23,9,37,19,7,5,14,25
ATLANTA HAWKS,240,40,90,12,31,19,25,12,37,24,7,1,12,20
GOLDEN STATE WARRIORS,240,46,86,17,29,19,27,6,39,27,7,9,10,15
PORTLAND TRAIL BLAZERS,240,33,85,13,39,24,29,7,32,14,7,3,11,20
MILWAUKEE BUCKS,240,34,67,10,22,15,26,1,21,22,13,4,15,23
TORONTO RAPTORS,240,41,71,12,27,24,26,5,35,28,10,6,17,24
